keys,en,tr
"TIP_TENSION","WORLD TENSION\nMeasures how close the world is to general war. Aggressive diplomacy and declarations raise it.\nHigh tension unlocks democratic war goals and stronger mobilization laws.","DÜNYA GERGİNLİĞİ\nDünyanın genel savaşa ne kadar yaklaştığını gösterir. Saldırgan diplomasi ve savaş ilanları değeri yükseltir.\nYüksek gerginlik demokratik savaş hedeflerini ve daha sert seferberlik yasalarını açar."
"TOP_AT_WAR","AT WAR (%d)  ·  Surrender %d%%","SAVAŞTA (%d)  ·  Teslim %%%d"
"TIP_AT_WAR","Enemies: %s\nWe capitulate at %d%% surrender progress (occupied victory points).","Düşmanlar: %s\nTeslim ilerlemesi %%%d olunca teslim oluruz (işgal edilen zafer puanları)."
NOTE_WELCOME,"Welcome, leader of %s. Pick a national focus (F) and research (I)!","Hoş geldiniz, %s lideri. Bir milli odak (F) ve araştırma (I) seçin!"
NOTE_NO_PATH,No route to that province.,O bölgeye yol bulunamadı.
SET_VOLUME,Master volume,Ana ses düzeyi
TIPMAP_CITY_IN,Urban center in %s,%s eyaletindeki şehir merkezi
TIPMAP_STATE,State territory,Eyalet bölgesi
TIPMAP_OURS,Our territory,Bizim toprağımız
TIPMAP_FOREIGN,Foreign territory,Yabancı toprak
TIPMAP_ENEMY,Enemy-controlled territory,Düşman toprağı
TIPMAP_CONTROLLER,Controller,Denetleyen
TIPMAP_COASTAL,Coastal,Kıyı bölgesi
TIPMAP_RIVER,River crossing,Nehir geçişi
TIPMAP_CONNECTIONS,Land connections,Kara bağlantısı
TIPMAP_VICTORY_POINTS,Victory points,Zafer puanı
TIPMAP_PORT_CITY,Port city,Liman şehri
TIPMAP_BUILDINGS,Strategic buildings,Stratejik yapılar
TIPMAP_DIVISIONS,Divisions in province,Bölgedeki tümenler
TIPMAP_NO_DIVISIONS,No detected divisions in this province.,Bu bölgede tespit edilen tümen yok.
"TIPMAP_LAND_HINT","Left click: select state  ·  Right click: issue order to selected divisions","Sol tık: eyaleti seç  ·  Sağ tık: seçili tümenlere emir ver"
TIPMAP_NAVAL_REGION,Naval region,Deniz bölgesi
TIPMAP_INTERNATIONAL_WATERS,International waters,Uluslararası sular
TIPMAP_COASTS,Adjacent coasts,Bitişik kıyı
TIPMAP_NAVAL_HINT,Naval and air control affect convoy safety and invasion routes.,Deniz ve hava üstünlüğü konvoy güvenliğini ve çıkarma rotalarını etkiler.
"TIPMAP_WATER_HINT","Mouse wheel: zoom  ·  Middle mouse: move map","Fare tekeri: yakınlaştır  ·  Orta tuş: haritayı taşı"
FLEET_NAME,%d. Fleet,%d. Filo
SUB_FLEET_NAME,%d. U-Boat Flotilla,%d. Denizaltı Filosu
SEA_ZONE_NEAR,Waters off %s,%s açıkları
SEA_ZONE,Open sea,Açık deniz
SHIP_battleship,battleship,zırhlı gemi
SHIP_cruiser,cruiser,kruvazör
SHIP_destroyer,destroyer,muhrip
SHIP_submarine,submarine,denizaltı
SHIPS_battleship,Battleships,Zırhlı
SHIPS_cruiser,Cruisers,Kruvazör
SHIPS_destroyer,Destroyers,Muhrip
SHIPS_submarine,Submarines,Denizaltı
"NOTE_SHIP_SUNK","%s lost a %s at sea.","%s bir %s kaybetti — gemi batırıldı."
"NOTE_FLEET_RETREAT","%s is badly damaged and returns to base.","%s ağır hasar aldı, üsse dönüyor."
"NOTE_FLEET_DESTROYED","%s (%s) has been sunk to the last ship.","%s (%s) son gemisine kadar batırıldı."
"NOTE_TRANSPORT_SUNK","Transports carrying %s (%s) were sunk.","%s (%s) taşıyan nakliye gemileri batırıldı."
"NOTE_CONVOYS_LOST","Enemy submarines sank %d of our convoys this week.","Düşman denizaltıları bu hafta %d konvoyumuzu batırdı."
"NOTE_CONVOYS_SUNK","Our submarines sank %d enemy convoys this week.","Denizaltılarımız bu hafta %d düşman konvoyu batırdı."
TASK_NAVY,Navy (N),Donanma (N)
"TIP_TASK_NAVY","NAVY\nFleets, missions and sea zones. Select a fleet, then right-click a sea zone to send it there, or your own port to rebase.\nShortcut: N","DONANMA\nFilolar, görevler ve deniz bölgeleri. Bir filo seçip deniz bölgesine sağ tıklayarak oraya gönderin; kendi limanınıza sağ tıklarsanız üs değiştirir.\nKısayol: N"
NAVY_TITLE,Navy,Donanma
NAVY_SUMMARY,"Naval strength %d · Convoys %d","Deniz gücü %d · Konvoy %d"
NAVY_NO_FLEETS,"We have no fleets. Build ships in dockyards (Production).","Filomuz yok. Tersanelerde gemi üretin (Üretim)."
MISSION_0,In port,Limanda
MISSION_1,Naval superiority,Deniz üstünlüğü
MISSION_2,Convoy raiding,Konvoy baskını
MISSION_3,Convoy escort,Konvoy koruma
"TIP_MISSION_0","Stay in the home port: repair and regain organization.","Ana üste kal: onarım ve organizasyon toplama."
"TIP_MISSION_1","Patrol the sea zone and attack enemy fleets. Protects our transports and invasions.","Deniz bölgesinde devriye gez, düşman filolarına saldır. Nakliye ve çıkarmalarımızı korur."
"TIP_MISSION_2","Submarines hunt enemy convoys in the zone, starving the enemy's trade and supply.","Denizaltılar bölgedeki düşman konvoylarını avlar; ticaret ve ikmali keser."
"TIP_MISSION_3","Escort our convoys in the zone and hunt enemy submarines.","Bölgedeki konvoylarımızı koru ve düşman denizaltılarını avla."
NAVY_ZONE,Zone: %s,Bölge: %s
NAVY_LOCATION_PORT,In port: %s,Limanda: %s
NAVY_LOCATION_SEA,At sea: %s,Denizde: %s
NAVY_RETURNING,Returning to base,Üsse dönüyor
NAVY_IN_COMBAT,In battle!,Muharebede!
NAVY_PICK_ZONE,Pick zone,Bölge seç
"TIP_NAVY_PICK_ZONE","Then click a sea zone (or coast) on the map to set this fleet's mission zone. Right-clicking with the fleet selected does the same.","Ardından haritada bir deniz bölgesine (ya da kıyıya) tıklayın; filonun görev bölgesi olur. Filo seçiliyken sağ tık da aynı işi yapar."
NAVY_CLICK_ZONE,Click a sea zone on the map…,Haritada bir deniz bölgesine tıklayın…
NAVY_ORG,Organization,Organizasyon
NAVY_SELECT,Select,Seç
"TIP_FLEET_COUNTER","%s\n%s\nOrganization %d%%\nLeft click: select · Right click with a fleet selected: send","%s\n%s\nOrganizasyon %%%d\nSol tık: seç · Filo seçiliyken sağ tık: gönder"
RESERVE_FLEET,Reserve Fleet,Yedek Filo
RESERVE_SUB_FLEET,Reserve Flotilla,Yedek Denizaltı Filosu
NAVY_CONVOY_FACTOR,"Convoys carry %d%% of imports","Konvoylar ithalatın %%%d'ini taşıyor"
"TIP_FLEET_CARD","Click to select the fleet and centre the map on it.","Filoyu seçmek ve haritada ona gitmek için tıklayın."
"TIP_SHIP_TYPE","%s: %d\nFirepower %.0f · Durability %.1f · Speed %d km/h","%s: %d\nAteş gücü %.0f · Dayanıklılık %.1f · Hız %d km/sa"
TIPMAP_FLEET_TITLE,%s,%s
"TIPMAP_FLEET_HINT","Left click: select · Right click (fleet selected): send to sea zone or rebase to own port","Sol tık: seç · Sağ tık (filo seçiliyken): deniz bölgesine gönder ya da kendi limanına üs değiştir"
TIPMAP_FLEET_MISSION,Mission: %s · Zone: %s,Görev: %s · Bölge: %s
NAVY_ORDER_OK,%s: new orders — %s,%s: yeni emir — %s
TIPMAP_FLEETS,Fleets,Filolar
TIPMAP_SEA_CONTROL,Our naval control here: %d%%,Buradaki deniz hâkimiyetimiz: %%%d
WING_NAME_fighter,%d. Fighter Wing,%d. Avcı Kanadı
WING_NAME_cas,%d. Close Support Wing,%d. Yakın Destek Kanadı
WING_NAME_bomber,%d. Bomber Wing,%d. Bombardıman Kanadı
WING_TYPE_fighter,Fighters,Avcı
WING_TYPE_cas,Close air support,Yakın hava desteği
WING_TYPE_bomber,Tactical bombers,Taktik bombardıman
AIR_MISSION_0,Standby,Beklemede
AIR_MISSION_1,Air superiority,Hava üstünlüğü
AIR_MISSION_2,Close air support,Yakın destek
AIR_MISSION_3,Port strike,Liman baskını
"TIP_AIR_MISSION_0","Stay at the air base.","Hava üssünde bekle."
"TIP_AIR_MISSION_1","Fight enemy aircraft over the zone. Air superiority gives our divisions up to +25% attack and defense there and weakens enemy close air support.","Bölge üzerinde düşman uçaklarıyla savaş. Hava üstünlüğü oradaki tümenlerimize %25'e kadar saldırı/savunma kazandırır ve düşmanın yakın desteğini zayıflatır."
"TIP_AIR_MISSION_2","Support our divisions in battles inside the zone (up to +30% attack). Needs air superiority to be effective; enemy anti-air causes losses.","Bölgedeki muharebelerde tümenlerimizi destekle (%30'a kadar saldırı). Etkili olması için hava üstünlüğü gerekir; düşman uçaksavarı kayıp verdirir."
"TIP_AIR_MISSION_3","Bomb enemy fleets anchored in ports inside the zone.","Bölgedeki limanlarda demirli düşman filolarını bombala."
AIR_TITLE,Air Force,Hava Kuvvetleri
AIR_SUMMARY,"%d fighters · %d close support · %d bombers","%d avcı · %d yakın destek · %d bombardıman"
AIR_NO_WINGS,"We have no air wings. Produce aircraft (Production) and build air bases.","Hava kanadımız yok. Uçak üretin (Üretim) ve hava üssü inşa edin."
AIR_BASE,Base: %s,Üs: %s
AIR_ZONE,Zone: %s,Bölge: %s
AIR_AUTO,Auto,Otomatik
"TIP_AIR_AUTO","When on, the AI picks this wing's base, mission and zone following the hottest front.","Açıkken bu kanadın üssünü, görevini ve bölgesini en sıcak cepheye göre yapay zekâ seçer."
AIR_PICK_ZONE,Pick zone,Bölge seç
"TIP_AIR_PICK_ZONE","Then click on the map: a province in range becomes the mission zone; one of our states with an air base becomes the new base.","Ardından haritaya tıklayın: menzildeki bölge görev bölgesi olur; hava üssü olan kendi eyaletimiz yeni üs olur."
AIR_CLICK_ZONE,Click a zone on the map for the air wing…,Hava kanadı için haritada bir bölgeye tıklayın…
AIR_ERR_RANGE,Out of range of this wing's base.,Bu kanadın üssünün menzili dışında.
AIR_ERR_BASE,No usable air base there.,Orada kullanılabilir hava üssü yok.
AIR_ORDER_OK,%s: %s — %s,%s: %s — %s
"TIP_WING_STATS","%s\n%d/%d aircraft · range %d km\nLosses today: %d","%s\n%d/%d uçak · menzil %d km\nBugünkü kayıp: %d"
TASK_AIR,Air (H),Hava (H)
"TIP_TASK_AIR","AIR FORCE\nAir wings, bases and missions. Air superiority and close air support decide land battles.\nShortcut: H","HAVA KUVVETLERİ\nHava kanatları, üsler ve görevler. Hava üstünlüğü ve yakın destek kara muharebelerini belirler.\nKısayol: H"
"NOTE_AIR_LOSSES","We lost %d aircraft today.","Bugün %d uçak kaybettik."
TIPMAP_AIR,Air superiority here: %d%%,Buradaki hava üstünlüğümüz: %%%d
PRODUCTION_LOCKED,Requires research: %s,Araştırma gerekli: %s
AIR_STOCK,"In stock: %d fighters · %d close support · %d bombers","Stokta: %d avcı · %d yakın destek · %d bombardıman"
AIR_DEPLOY,Deploy wing,Kanat kur
"TIP_AIR_DEPLOY","Form a new air wing (up to 100 aircraft) from the stockpile at the chosen air base.","Stoktaki uçaklardan seçili hava üssünde yeni bir kanat kur (en fazla 100 uçak)."
"TIP_AIR_DEPLOY_TYPE","Aircraft type to deploy (number in stock).","Konuşlandırılacak uçak tipi (stoktaki sayı)."
"TIP_AIR_DEPLOY_BASE","Air base (level). Higher level bases hold more aircraft.","Hava üssü (seviye). Yüksek seviyeli üs daha çok uçak barındırır."
AIR_REINFORCE,Reinforce,Takviye
"TIP_AIR_REINFORCE","Fill this wing up to 100 aircraft from the stockpile.","Bu kanadı stoktan 100 uçağa tamamla."
AIR_DISBAND,Disband,Dağıt
"TIP_AIR_DISBAND","Disband the wing; its aircraft return to the stockpile.","Kanadı dağıt; uçakları stoğa döner."
ROUTE_TRADE,Trade route,Ticaret yolu
ROUTE_GOODS,Goods per day: %s,Günlük mal: %s
ROUTE_DIST_SEA,Sea route · %d km,Deniz yolu · %d km
ROUTE_DIST_LAND,Overland · %d km,Kara yolu · %d km
ROUTE_CONVOY,Convoy coverage of importer: %d%%,İthalatçının konvoy karşılaması: %%%d
ROUTE_RISK,Passes %d enemy-controlled sea zones,%d düşman hâkimiyetindeki deniz bölgesinden geçiyor
ROUTE_HINT,Click: select route,Tık: rotayı seç
ROUTE_FLEET_TO,Heading to %s,Rota: %s
ROUTE_ETA,%d km left · arrives in ≈%.1f days,Kalan %d km · varış ≈%.1f gün
ROUTE_AIR,Mission over %s,Görev bölgesi: %s
ALERT_EVENT,Event waiting,Bekleyen olay
ALERT_EVENT_D,%d event(s) await your decision.,%d olay kararını bekliyor.
ALERT_RESEARCH,Research slot idle,Araştırma boşta
ALERT_RESEARCH_D,%d research slot(s) are empty.,%d araştırma yuvası boş.
ALERT_FOCUS,No national focus,Milli odak seçilmedi
ALERT_FOCUS_D,Choose a national focus.,Bir milli odak seç.
ALERT_PRODUCTION,Idle military factories,Boşta askeri fabrika
ALERT_PRODUCTION_D,%d military factories are unassigned.,%d askeri fabrika üretime atanmamış.
ALERT_DOCKYARD,Idle dockyards,Boşta tersane
ALERT_DOCKYARD_D,%d dockyards are unassigned.,%d tersane üretime atanmamış.
ALERT_CONSTRUCTION,Nothing under construction,İnşaat kuyruğu boş
ALERT_CONSTRUCTION_D,Your civilian factories are idle.,Sivil fabrikaların boşta.
ALERT_SUPPLY,Out of supply,İkmalsiz tümen
ALERT_SUPPLY_D,%d divisions are out of supply.,%d tümen ikmalsiz.
ALERT_CONVOY,Convoy shortage,Konvoy açığı
ALERT_CONVOY_D,Only %d%% of imports arrive.,İthalatın yalnız %%%d'i ulaşıyor.
ALERT_PLANES,Planes in stock,Stokta uçak
ALERT_PLANES_D,%d planes wait to be deployed.,%d uçak konuşlanmayı bekliyor.
ALERT_MANPOWER,Low manpower,İnsan gücü az
ALERT_MANPOWER_D,Few recruits left for new divisions.,Yeni tümenler için az asker kaldı.
ALERT_SURRENDER,Surrender danger,Teslim tehlikesi
ALERT_SURRENDER_D,Surrender progress: %d%%,Teslim ilerlemesi: %%%d
UI_FUEL_TIP,"FUEL\nMade from oil (own + imported). Armour and motorised units burn it when moving and fighting, planes on missions, ships at sea. Without fuel they fight and move at half strength.","YAKIT\nPetrolden (kendi + ithal) elde edilir. Zırhlı ve motorlu birlikler hareket ve muharebede, görevdeki uçaklar ve denizdeki gemiler yakar. Yakıt biterse yarı güçle savaşır ve yarı hızla ilerlerler."
UI_FUEL_DETAIL,Stock: %s / %s,Depo: %s / %s
ALERT_FUEL,Fuel running out,Yakıt bitiyor
ALERT_FUEL_D,Tanks and planes will fight at half strength. Import oil or build synthetic refineries.,Tanklar ve uçaklar yarı güçle savaşacak. Petrol ithal et ya da sentetik rafineri kur.
DIV_XP_0,Green,Yeşil
DIV_XP_1,Trained,Eğitimli
DIV_XP_2,Regular,Düzenli
DIV_XP_3,Veteran,Kıdemli
DIV_XP_4,Elite,Seçkin
DIV_XP_LINE,Experience: %s (%+d%% attack),Tecrübe: %s (saldırı %+d%%)
DIV_PLANNING_LINE,Planning: +%d%% (grows while waiting on the front),Planlama: +%%%d (cephede beklerken birikir)
ARMY_NAME,%d. Army,%d. Ordu
ARMY_CREATE,Create army,Ordu kur
TIP_ARMY_CREATE,"CREATE ARMY\nGroups the selected divisions into an army. Assign it to a front and it spreads along the border by itself.","ORDU KUR\nSeçili tümenleri bir orduda toplar. Bir cepheye ata; ordu sınır boyunca kendiliğinden dağılır."
ARMY_NO_FRONT,No front,Cephe yok
TIP_ARMY_FRONT,"FRONT\nThe army deploys along the border with this country, more divisions where the enemy is strong. Works before the war too.","CEPHE\nOrdu bu ülkeyle sınır boyunca dağılır; düşmanın yoğun olduğu yere daha çok tümen. Savaştan önce de konuşlanabilir."
ARMY_HOLD,Hold,Savun
TIP_ARMY_HOLD,"HOLD\nKeep the line; divisions dig in and build planning.","SAVUN\nHattı tut; tümenler siper kazar ve planlama biriktirir."
ARMY_ATTACK,Attack,Taarruz
TIP_ARMY_ATTACK,"ATTACK\nAdvance along the whole front into enemy provinces where we are stronger, without breaking the line.","TAARRUZ\nCephe boyunca, hattı bozmadan, güçlü olduğumuz düşman bölgelerine ilerle."
ARMY_SELECT,Select army,Orduyu seç
TIP_ARMY_SELECT,Select all divisions of this army.,Bu ordunun bütün tümenlerini seç.
ARMY_DISBAND,Dissolve,Orduyu dağıt
TIP_ARMY_DISBAND,"DISSOLVE ARMY\nDivisions stay where they are, without a front.","ORDUYU DAĞIT\nTümenler yerinde kalır, cephesiz."
